1Abetaalone.txt: column 1 X	1Abetaalone.txt: column 1 Y	15Abetaalone.txt: column 1 X	15Abetaalone.txt: column 1 Y	2Abetaalone.txt: column 1 X	2Abetaalone.txt: column 1 Y
574.0	49161.4127014	574.0	75443.0714286	574.0	111471.5
577.0	50109.7460314	577.0	75210.0714286	577.0	110448.5
580.0	52134.4127014	580.0	74114.0714286	580.0	112854.0
584.0	48361.4127014	584.0	73892.0714286	584.0	106543.0
587.0	53932.4127014	587.0	73025.5714286	587.0	109339.0
590.0	50263.4127014	590.0	73833.5714286	590.0	105761.5
594.0	52282.4127014	594.0	73443.0714286	594.0	109430.0
597.0	54033.0793614	597.0	72548.5714286	597.0	108928.0
600.0	51966.4127014	600.0	72299.0714286	600.0	111295.0
604.0	50725.0793614	604.0	72813.0714286	604.0	110783.0
607.0	50149.0793614	607.0	72570.0714286	607.0	104050.0
610.0	51650.0793614	610.0	74199.0714286	610.0	107657.0
614.0	53016.0793614	614.0	72574.0714286	614.0	106207.5
617.0	51216.0793614	617.0	72097.5714286	617.0	107953.5
620.0	50569.4127014	620.0	72246.5714286	620.0	111976.0
624.0	51018.4127014	624.0	74537.5714286	624.0	107949.0
627.0	52176.7460314	627.0	73562.0714286	627.0	110934.5
630.0	53979.0793614	630.0	72767.0714286	630.0	106269.5
633.0	51765.0793614	633.0	74816.0714286	633.0	108378.0
637.0	51593.4127014	637.0	72357.0714286	637.0	109388.5
640.0	52616.0793614	640.0	73831.5714286	640.0	107060.5
643.0	52069.7460314	643.0	74027.5714286	643.0	110026.0
647.0	53699.4127014	647.0	74103.5714286	647.0	107028.0
650.0	52389.7460314	650.0	73538.0714286	650.0	111090.0
653.0	52820.4127014	653.0	74386.0714286	653.0	111605.5
657.0	52121.4127014	657.0	75368.0714286	657.0	107735.0
660.0	54280.7460314	660.0	74496.5714286	660.0	108475.0
663.0	54746.4127014	663.0	72449.5714286	663.0	103315.5
667.0	54320.4127014	667.0	74603.5714286	667.0	110666.5
670.0	53783.7460314	670.0	74429.0714286	670.0	108750.5
673.0	54679.4127014	673.0	73524.5714286	673.0	110023.0
677.0	52264.0793614	677.0	75282.5714286	677.0	103152.0
680.0	52352.7460314	680.0	73955.0714286	680.0	107026.0
683.0	55780.0793614	683.0	74557.5714286	683.0	109093.5
687.0	54050.0793614	687.0	71213.0714286	687.0	108447.5
690.0	52884.0793614	690.0	74216.0714286	690.0	110131.5
693.0	53063.4127014	693.0	72289.5714286	693.0	109323.5
696.0	53025.0793614	696.0	70041.5714286	696.0	107998.5
700.0	55828.4127014	700.0	72874.5714286	700.0	108600.5
703.0	53934.4127014	703.0	72753.0714286	703.0	110672.5
706.0	54718.7460314	706.0	72166.5714286	706.0	110392.5
710.0	54631.0793614	710.0	73303.0714286	710.0	109356.0
713.0	53159.7460314	713.0	70334.0714286	713.0	107795.5
716.0	53957.4127014	716.0	70259.0714286	716.0	100906.0
720.0	53925.0793614	720.0	70891.5714286	720.0	109400.0
723.0	54548.7460314	723.0	69926.5714286	723.0	110123.5
726.0	52805.0793614	726.0	69145.5714286	726.0	103902.5
730.0	56287.0793614	730.0	73313.0714286	730.0	106941.0
733.0	54775.0793614	733.0	72889.0714286	733.0	106051.5
736.0	53898.0793614	736.0	76166.0714286	736.0	109819.5
740.0	54752.0793614	740.0	73801.0714286	740.0	107422.5
743.0	55027.0793614	743.0	76957.0714286	743.0	109657.5
746.0	52462.0793614	746.0	75809.0714286	746.0	110390.5
750.0	52559.7460314	750.0	74151.0714286	750.0	112149.0
753.0	51324.0793614	753.0	81434.0714286	753.0	110248.0
756.0	52351.0793614	756.0	76083.0714286	756.0	111038.5
760.0	52171.0793614	760.0	79124.0714286	760.0	107750.0
763.0	52944.0793614	763.0	78978.0714286	763.0	110674.5
766.0	51109.0793614	766.0	79283.0714286	766.0	105817.5
769.0	54296.0793614	769.0	71259.0714286	769.0	109144.0
773.0	54017.4127014	773.0	73386.0714286	773.0	104399.0
776.0	55134.0793614	776.0	72178.0714286	776.0	109484.5
779.0	52789.0793614	779.0	78093.0714286	779.0	112746.5
783.0	54291.7460314	783.0	72415.0714286	783.0	108212.5
786.0	53076.7460314	786.0	74805.0714286	786.0	108733.5
789.0	53467.7460314	789.0	71841.0714286	789.0	105485.0
793.0	52544.0793614	793.0	71839.0714286	793.0	109139.5
796.0	52991.4127014	796.0	75856.0714286	796.0	111790.0
799.0	53504.7460314	799.0	73385.0714286	799.0	111641.5
803.0	53646.7460314	803.0	73031.0714286	803.0	110530.0
806.0	54596.0793614	806.0	76041.0714286	806.0	111359.5
809.0	54686.4127014	809.0	74831.0714286	809.0	106855.5
813.0	53387.7460314	813.0	76103.0714286	813.0	109619.0
816.0	55292.7460314	816.0	76109.0714286	816.0	109153.0
819.0	53362.0793614	819.0	72720.0714286	819.0	112003.5
823.0	52944.0793614	823.0	74761.0714286	823.0	112786.0
826.0	53249.4127014	826.0	72106.0714286	826.0	108831.0
829.0	54120.7460314	829.0	72294.0714286	829.0	107528.0
832.0	53238.4127014	832.0	74568.0714286	832.0	103583.5
836.0	53489.7460314	836.0	75542.0714286	836.0	109969.0
839.0	55764.7460314	839.0	74600.0714286	839.0	112125.5
842.0	53445.7460314	842.0	73596.0714286	842.0	107801.5
846.0	54259.4127014	846.0	75534.0714286	846.0	105073.0
849.0	53503.7460314	849.0	74114.0714286	849.0	108961.5
852.0	56642.7460314	852.0	71669.0714286	852.0	109581.0
856.0	53938.7460314	856.0	71971.0714286	856.0	112803.5
859.0	54948.7460314	859.0	72291.0714286	859.0	110915.0
862.0	54974.4127014	862.0	71999.0714286	862.0	113048.0
866.0	53956.7460314	866.0	75694.0714286	866.0	106905.5
869.0	53913.0793614	869.0	77105.0714286	869.0	108552.5
872.0	53897.0793614	872.0	72538.0714286	872.0	108452.5
876.0	53047.7460314	876.0	72000.0714286	876.0	109024.0
879.0	52541.7460314	879.0	73553.0714286	879.0	111529.5
882.0	52274.7460314	882.0	71325.0714286	882.0	107812.0
886.0	52944.7460314	886.0	72875.0714286	886.0	109143.5
889.0	53205.4127014	889.0	73555.0714286	889.0	107197.5
892.0	53037.0793614	892.0	71564.0714286	892.0	105619.5
896.0	53903.0793614	896.0	69751.0714286	896.0	111633.5
899.0	52142.0793614	899.0	67199.0714286	899.0	102032.5
902.0	53757.7460314	902.0	71076.0714286	902.0	106954.5
905.0	52731.7460314	905.0	70919.0714286	905.0	107919.0
909.0	54501.4127014	909.0	71240.0714286	909.0	108874.5
912.0	55281.0793614	912.0	68012.0714286	912.0	101258.5
915.0	53388.7460314	915.0	70336.0714286	915.0	107619.5
919.0	53980.0793614	919.0	70257.0714286	919.0	105220.5
922.0	54946.0793614	922.0	68241.0714286	922.0	108032.0
