111.txt: 24072 X	111.txt: 24072 Y	1AB_1D.txt: column 1 X	1AB_1D.txt: column 1 Y	1AB_2D.txt: column 1 X	1AB_2D.txt: column 1 Y	1AB_6D.txt: column 1 X	1AB_6D.txt: column 1 Y	1AB_10D.txt: column 1 X	1AB_10D.txt: column 1 Y	1AB_15D.txt: column 1 X	1AB_15D.txt: column 1 Y	1AB_20D.txt: column 1 X	1AB_20D.txt: column 1 Y
438.0	46892.6274506	434.0	27487.9259289	434.0	23691.0707042	434.0	11450.7638883	434.0	6732.26950426	434.0	4092.53658195	434.0	-330.533333333
441.0	45912.2941206	438.0	28355.2592589	438.0	24351.0707042	438.0	11948.4305583	438.0	6868.93617426	438.0	4980.86992195	438.0	851.466666667
444.0	45043.2941206	441.0	27912.9259289	441.0	23400.4040442	441.0	12803.7638883	441.0	6951.60283426	441.0	5056.53658195	441.0	32.4666666663
448.0	49477.6274506	444.0	28368.2592589	444.0	23681.7373742	444.0	13771.7638883	444.0	6204.93617426	444.0	5102.53658195	444.0	244.466666667
451.0	45901.9607806	448.0	29310.9259289	448.0	23210.4040442	448.0	13253.7638883	448.0	8056.93617426	448.0	5109.86992195	448.0	255.466666667
454.0	46318.2941206	451.0	29923.2592589	451.0	23701.0707042	451.0	13677.7638883	451.0	7070.26950426	451.0	5303.20325195	451.0	1392.46666667
458.0	48644.2941206	454.0	30025.2592589	454.0	24106.4040442	454.0	13616.4305583	454.0	7897.93617426	454.0	6593.20325195	454.0	25.4666666663
461.0	51257.9607806	458.0	31078.5925889	458.0	25048.0707042	458.0	14507.7638883	458.0	8544.93617426	458.0	6384.86992195	458.0	1043.46666667
464.0	48767.2941206	461.0	30616.9259289	461.0	25015.4040442	461.0	15417.0972183	461.0	8594.60283426	461.0	6483.20325195	461.0	1302.46666667
468.0	49609.9607806	464.0	30371.2592589	464.0	25010.4040442	464.0	15206.7638883	464.0	8174.93617426	464.0	6702.20325195	464.0	-500.533333333
471.0	49901.2941206	468.0	31516.9259289	468.0	25769.7373742	468.0	16519.0972183	468.0	8846.26950426	468.0	7395.20325195	468.0	1180.46666667
474.0	48688.2941206	471.0	31029.2592589	471.0	25446.0707042	471.0	16456.0972183	471.0	9038.26950426	471.0	6817.53658195	471.0	1164.46666667
478.0	50464.2941206	474.0	31025.2592589	474.0	26442.4040442	474.0	17169.7638883	474.0	9140.93617426	474.0	6877.20325195	474.0	1116.46666667
481.0	51106.6274506	478.0	30161.9259289	478.0	27380.4040442	478.0	18413.4305583	478.0	9506.60283426	478.0	7062.20325195	478.0	1856.46666667
484.0	48410.2941206	481.0	30097.5925889	481.0	25902.7373742	481.0	17392.7638883	481.0	8745.60283426	481.0	7169.20325195	481.0	1808.46666667
488.0	48663.9607806	484.0	32434.9259289	484.0	25482.7373742	484.0	17011.4305583	484.0	9806.60283426	484.0	6996.53658195	484.0	1664.46666667
491.0	48551.2941206	488.0	31622.5925889	488.0	26502.0707042	488.0	17555.0972183	488.0	9872.26950426	488.0	7502.20325195	488.0	1558.46666667
494.0	48949.9607806	491.0	31700.5925889	491.0	25652.0707042	491.0	18050.4305583	491.0	10645.6028343	491.0	7454.53658195	491.0	743.466666667
497.0	49148.6274506	494.0	31785.5925889	494.0	27454.4040442	494.0	19355.4305583	494.0	10318.6028343	494.0	7476.86992195	494.0	2307.46666667
501.0	48972.9607806	497.0	30854.5925889	497.0	27308.0707042	497.0	19258.0972183	497.0	11867.6028343	497.0	7539.20325195	497.0	2539.96666667
504.0	48458.6274506	501.0	31880.9259289	501.0	26705.0707042	501.0	19303.4305583	501.0	11126.6028343	501.0	8719.53658195	501.0	1752.96666667
507.0	49728.6274506	504.0	31058.9259289	504.0	26176.4040442	504.0	19226.0972183	504.0	10524.9361743	504.0	8048.20325195	504.0	1317.96666667
511.0	49790.6274506	507.0	32965.2592589	507.0	26214.4040442	507.0	20156.4305583	507.0	12707.6028343	507.0	9593.53658195	507.0	2072.96666667
514.0	50046.6274506	511.0	32212.5925889	511.0	27825.7373742	511.0	19837.4305583	511.0	12685.2695043	511.0	9750.86992195	511.0	1969.46666667
517.0	50893.6274506	514.0	33650.5925889	514.0	27997.0707042	514.0	20198.7638883	514.0	12067.6028343	514.0	8261.86992195	514.0	1879.96666667
521.0	48698.2941206	517.0	31263.9259289	517.0	26536.4040442	517.0	20364.7638883	517.0	12078.2695043	517.0	9526.53658195	517.0	2128.46666667
524.0	50280.9607806	521.0	32556.9259289	521.0	28471.4040442	521.0	20749.7638883	521.0	13046.2695043	521.0	9287.86992195	521.0	1400.46666667
527.0	51945.6274506	524.0	32316.2592589	524.0	26976.7373742	524.0	20538.7638883	524.0	12159.2695043	524.0	9132.53658195	524.0	2754.46666667
531.0	50733.9607806	527.0	33797.9259289	527.0	28688.7373742	527.0	21581.0972183	527.0	13309.2695043	527.0	10212.869922	527.0	1714.46666667
534.0	50729.9607806	531.0	33490.5925889	531.0	28380.4040442	531.0	20961.7638883	531.0	14471.2695043	531.0	10131.869922	531.0	2175.96666667
537.0	52656.2941206	534.0	33491.2592589	534.0	25692.7373742	534.0	20873.7638883	534.0	13719.2695043	534.0	9638.20325195	534.0	3153.46666667
541.0	49389.9607806	537.0	33338.2592589	537.0	27919.4040442	537.0	21530.4305583	537.0	13826.6028343	537.0	9684.53658195	537.0	2211.96666667
544.0	51916.9607806	541.0	32354.2592589	541.0	28682.0707042	541.0	20800.4305583	541.0	14238.2695043	541.0	9295.86992195	541.0	2076.96666667
547.0	52157.2941206	544.0	33295.5925889	544.0	28776.0707042	544.0	22601.0972183	544.0	14622.9361743	544.0	11160.869922	544.0	1984.96666667
551.0	51928.2941206	547.0	33326.2592589	547.0	29073.7373742	547.0	22576.4305583	547.0	14247.2695043	547.0	10915.869922	547.0	3491.96666667
554.0	50325.6274506	551.0	33239.5925889	551.0	27921.0707042	551.0	22701.7638883	551.0	14815.9361743	551.0	11724.203252	551.0	2189.46666667
557.0	53762.6274506	554.0	33261.2592589	554.0	29467.4040442	554.0	22055.0972183	554.0	13834.6028343	554.0	10770.203252	554.0	1635.46666667
561.0	49473.2941206	557.0	33648.9259289	557.0	29130.4040442	557.0	23942.0972183	557.0	15519.9361743	557.0	10733.536582	557.0	2589.46666667
564.0	49725.9607806	561.0	34803.2592589	561.0	27818.7373742	561.0	22081.7638883	561.0	15926.6028343	561.0	10420.203252	561.0	3587.96666667
567.0	50408.9607806	564.0	32834.9259289	564.0	27305.0707042	564.0	21756.4305583	564.0	14742.9361743	564.0	10842.203252	564.0	2778.46666667
570.0	50553.2941206	567.0	34060.9259289	567.0	28131.4040442	567.0	23135.0972183	567.0	14159.2695043	567.0	12006.869922	567.0	3468.46666667
574.0	49226.2941206	570.0	33501.9259289	570.0	28591.0707042	570.0	23396.7638883	570.0	14917.6028343	570.0	11904.869922	570.0	2525.96666667
577.0	50174.6274506	574.0	33821.2592589	574.0	29285.0707042	574.0	23965.0972183	574.0	15111.2695043	574.0	11421.536582	574.0	4204.46666667
580.0	52199.2941206	577.0	34925.2592589	577.0	28927.7373742	577.0	24087.7638883	577.0	15371.6028343	577.0	11675.536582	577.0	3100.46666667
