---------------------------------
    Results for GMC_10075_G5_5uM_Day6.avi 
---------------------------------
Raw data:
Particle    BPM    Bend Measure    Speed    Area    Appears in frames    Region
171    16.572238    3.263362    0.020377    0.008833    707    all
172    17.805755    3.421402    0.017912    0.006897    544    all
173    3.761755    3.168065    0.000807    0.007260    950    all
174    19.749216    1.442286    0.005143    0.008470    269    all
175    32.261641    2.234680    0.023003    0.007986    887    all
176    44.505495    2.565418    0.032617    0.007139    530    all
177    1.566580    3.530598    0.000279    0.009801    261    all
178    35.583942    2.528102    0.015790    0.007623    1089    all
179    36.292428    1.250633    0.020406    0.008591    1142    all
180    47.830803    3.533563    0.013558    0.010043    915    all
181    16.775033    0.121748    0.005404    0.006534    764    all
182    4.897959    2.753641    0.001375    0.007018    226    all
183    60.313316    1.838856    0.027808    0.004598    1132    all
184    35.500650    3.272912    0.008340    0.003751    764    all
185    33.917197    1.966301    0.012032    0.009075    629    all
186    29.553903    1.384821    0.018618    0.007139    526    all
187    20.689655    2.801564    0.013778    0.008349    463    all
188    27.931034    0.540962    0.013013    0.009075    290    all
189    34.816754    3.080314    0.017667    0.007744    1142    all
190    27.184466    3.071157    0.014205    0.008107    283    all
191    17.684211    2.333663    0.002945    0.008772    476    all
192    59.007833    2.831484    0.037743    0.008107    1145    all
193    60.461538    2.421479    0.020929    0.003267    645    all
194    45.169713    1.022223    0.023540    0.005082    1142    all
195    43.656716    3.669479    0.018398    0.006655    514    all
196    0.000000    1.511486    0.001676    0.006776    934    all
197    20.833333    1.853743    0.005841    0.008954    708    all
198    27.937337    2.763025    0.018146    0.008107    1150    all
199    69.379015    3.120809    0.036679    0.004961    927    all
200    28.396947    2.619373    0.016347    0.008349    643    all
201    40.434783    3.437455    0.014614    0.006655    231    all
202    31.168831    2.119438    0.010897    0.007623    463    all
203    29.503916    2.423815    0.014899    0.006897    1150    all
204    50.476190    3.862801    0.034754    0.008954    631    all
205    28.459530    1.921475    0.000552    0.006897    1150    all
206    13.636364    3.377077    0.020563    0.009559    246    all
207    0.000000    2.628783    0.001131    0.009559    1150    all
208    14.332784    1.737442    0.019566    0.006776    606    all
209    2.349869    2.771888    0.010044    0.007986    1142    all
210    33.466135    2.358488    0.010553    0.009196    244    all
211    45.627376    1.399441    0.016488    0.007562    261    all
212    59.268930    4.067738    0.001366    0.006171    1014    all
213    17.746479    3.270065    0.004596    0.005566    344    all
214    65.217391    2.337221    0.021289    0.010164    457    all
215    17.910448    3.060326    0.012612    0.006171    336    all
216    2.158273    2.782060    0.001665    0.006050    535    all
217    31.779661    3.653644    0.027800    0.010406    232    all
218    47.033898    2.120075    0.031702    0.007381    223    all
219    43.728814    1.088889    0.022122    0.008349    295    all
220    9.399478    1.538200    0.003247    0.008107    1145    all
221    51.102204    0.462514    0.016044    0.006655    497    all
222    46.475196    3.192340    0.021676    0.008107    1148    all
223    28.981723    2.991067    0.008564    0.008470    1149    all
224    44.890511    2.916571    0.028615    0.009075    809    all
225    4.477612    2.074772    0.001895    0.008107    260    all
226    37.223587    0.279246    0.031610    0.005263    809    all
227    25.389755    1.891207    0.017124    0.008349    438    all
228    20.245399    3.261944    0.019690    0.004840    317    all
229    15.926893    1.689043    0.006925    0.003993    1138    all
230    30.383212    3.569548    0.020157    0.006897    1086    all
231    0.000000    3.974159    0.001078    0.005929    1149    all
232    10.833333    2.053149    0.001209    0.008712    361    all
233    33.159269    2.204024    0.021697    0.008591    1149    all
234    28.506787    2.936332    0.022276    0.005929    201    all
235    4.177546    2.941479    0.002023    0.009317    1019    all
236    50.865052    2.461247    0.030338    0.007744    577    all
237    8.355091    3.259923    0.000766    0.004598    1150    all
238    16.449086    2.564608    0.007082    0.009438    1149    all
239    41.715976    2.073911    0.021172    0.008349    327    all
240    57.692308    1.023930    0.036567    0.009680    235    all
241    40.470297    3.721243    0.015015    0.007381    807    all
242    8.616188    3.484676    0.001451    0.008228    1021    all
243    50.431034    2.155432    0.007173    0.008228    233    all
244    34.449761    3.556376    0.021607    0.010164    208    all
245    25.337838    0.207851    0.014377    0.004598    889    all
246    26.109661    3.483368    0.011773    0.003993    1139    all
247    38.498789    2.325310    0.013327    0.009196    403    all
248    1.827676    3.350839    0.000691    0.007986    1129    all
249    38.181818    1.876084    0.014184    0.008712    428    all
250    36.565097    2.644902    0.008962    0.006897    354    all
251    22.304833    2.139921    0.018812    0.003146    263    all
252    14.410480    3.014430    0.005438    0.003751    913    all
253    40.948276    3.149401    0.021336    0.007018    635    all
254    54.149378    2.661132    0.023826    0.008833    478    all
255    0.000000    3.873663    0.000730    0.007865    1150    all
256    20.104439    4.169304    0.016776    0.009317    1134    all
257    4.014599    2.313916    0.003931    0.008591    820    all
258    28.337875    2.623556    0.015802    0.006655    1067    all
259    20.541401    2.833372    0.008204    0.003993    627    all
260    26.072961    2.745344    0.007429    0.008591    800    all
261    30.131004    2.454193    0.016709    0.007623    215    all
262    38.181818    3.468747    0.016728    0.006050    258    all
263    45.861733    1.521625    0.026099    0.008954    1028    all
264    41.232227    3.866383    0.016938    0.007744    417    all
265    60.069444    3.379270    0.033163    0.008833    859    all
266    15.297450    3.964168    0.009721    0.010285    698    all
267    21.671018    2.754738    0.013582    0.007744    1133    all
268    35.770235    0.810864    0.022440    0.004840    1150    all
269    0.000000    2.742753    0.000847    0.009801    1150    all
270    32.637076    3.187444    0.007544    0.005082    1150    all
271    37.336815    1.581140    0.016957    0.004961    1150    all
272    40.469974    2.610009    0.020420    0.006776    1150    all
273    4.438642    2.672341    0.000266    0.007139    1150    all
274    18.750000    1.915783    0.009399    0.009559    337    all
275    44.334975    1.467168    0.034191    0.006776    803    all
276    18.078176    3.195760    0.008108    0.009801    585    all
277    18.015666    3.498835    0.002764    0.011616    1150    all
