---------------------------------
    Results for N2_Day6.avi 
---------------------------------
Raw data:
Particle    BPM    Bend Measure    Speed    Area    Appears in frames    Region
348    29.241877    1.792981    0.017685    0.009075    269    all
349    29.370629    2.880822    0.001201    0.009438    228    all
350    18.202247    3.937601    0.015528    0.009438    420    all
351    38.181818    3.541996    0.014441    0.008470    248    all
352    39.114391    2.787683    0.016856    0.003872    804    all
353    44.444444    1.853665    0.026820    0.009680    503    all
354    47.419355    1.838075    0.025278    0.008228    248    all
355    38.724728    2.774985    0.020733    0.008833    642    all
356    39.304813    2.160961    0.019011    0.007623    737    all
357    36.321627    2.269596    0.010454    0.009922    1065    all
358    0.000000    1.377482    0.019502    0.011374    835    all
359    24.000000    2.483807    0.012141    0.007139    225    all
360    21.150278    1.066396    0.001625    0.012463    467    all
361    44.021739    2.803365    0.011198    0.009680    347    all
362    15.555556    2.137920    0.014782    0.007139    271    all
363    44.444444    2.446601    0.000619    0.007502    271    all
364    26.765799    3.801366    0.002120    0.009135    261    all
365    29.069767    4.058927    0.016388    0.009559    503    all
366    27.103960    3.424754    0.019216    0.007986    806    all
367    52.734375    3.093411    0.027537    0.009801    237    all
368    30.793157    1.335293    0.011496    0.004537    642    all
369    39.291217    2.129655    0.017505    0.007986    630    all
370    48.881789    3.479404    0.028673    0.010164    298    all
371    36.363636    3.411473    0.012570    0.005566    253    all
372    22.594142    2.748502    0.015834    0.011495    213    all
373    44.029851    2.044030    0.010696    0.009196    755    all
374    52.631579    2.701598    0.024396    0.011253    852    all
375    65.987780    0.821266    0.018801    0.004961    488    all
376    40.214477    3.544523    0.024290    0.007260    714    all
377    34.615385    2.992653    0.011172    0.009922    255    all
378    47.765363    2.979152    0.002466    0.008228    285    all
379    30.909091    3.063919    0.008168    0.006776    300    all
380    0.000000    2.881997    0.000643    0.010406    1059    all
381    25.862069    3.176459    0.000814    0.011495    211    all
382    0.561272    5.441712    0.001068    0.010285    924    all
383    44.912791    2.738336    0.026674    0.010648    666    all
384    20.618557    1.418413    0.004839    0.009922    276    all
385    18.136020    3.553120    0.000817    0.010769    391    all
386    37.428023    1.726362    0.012531    0.007018    513    all
387    33.658537    1.602235    0.015926    0.008954    200    all
388    4.743083    3.518719    0.003638    0.008107    236    all
389    38.799076    2.730888    0.033914    0.011979    368    all
390    0.845070    3.009914    0.000370    0.010164    706    all
391    12.895070    1.949652    0.007876    0.007865    730    all
392    12.235650    2.290101    0.000451    0.008833    430    all
393    56.341463    3.753342    0.024103    0.006413    409    all
394    10.843373    3.088393    0.004697    0.006171    250    all
395    35.923567    3.539188    0.021886    0.008833    652    all
396    0.000000    1.949637    0.000787    0.010043    419    all
397    36.257310    0.673683    0.006830    0.009801    509    all
398    39.095745    1.608706    0.016518    0.010527    370    all
399    46.394687    3.702782    0.021367    0.009922    1035    all
400    40.874036    0.872725    0.008736    0.008107    387    all
401    44.628099    3.067409    0.016989    0.009559    243    all
402    8.928571    2.649131    0.019286    0.004719    485    all
403    20.979021    3.430939    0.000954    0.012342    208    all
404    17.396907    1.452937    0.017819    0.007018    777    all
405    20.916335    0.376403    0.017173    0.007744    502    all
406    57.485030    2.622840    0.027789    0.003751    502    all
407    16.731518    2.840730    0.007322    0.007139    757    all
408    50.000000    0.445068    0.024814    0.006655    222    all
409    61.802575    3.834449    0.022032    0.009196    217    all
410    30.563003    2.615077    0.017935    0.009075    369    all
411    47.260274    1.389077    0.033132    0.010164    277    all
412    34.903846    1.934965    0.007504    0.011858    1033    all
413    47.590361    4.073664    0.017667    0.009498    491    all
414    27.272727    1.632724    0.000322    0.005445    273    all
415    38.286713    1.254044    0.010779    0.008954    568    all
416    38.492872    1.431122    0.023658    0.010769    492    all
417    31.683168    1.426706    0.013133    0.004598    504    all
418    42.081448    0.857316    0.029218    0.011132    222    all
419    0.000000    3.215938    0.001106    0.007139    929    all
420    27.149321    3.279411    0.020682    0.007381    216    all
421    32.164948    2.175444    0.024653    0.007865    446    all
422    65.277778    2.993069    0.030132    0.010285    206    all
423    54.794521    2.302493    0.007268    0.006413    203    all
424    41.284404    3.215423    0.023236    0.012342    219    all
425    43.069307    2.214620    0.014685    0.006655    201    all
426    38.550247    2.654034    0.012421    0.008833    590    all
427    2.054795    3.745631    0.000328    0.011132    687    all
428    12.080537    3.705576    0.003404    0.007865    297    all
429    32.661290    2.516560    0.017129    0.010527    729    all
430    45.728643    2.561902    0.011040    0.011011    577    all
431    38.761777    0.940974    0.020690    0.007139    736    all
432    32.142857    1.830682    0.012271    0.006776    466    all
433    27.510917    1.172764    0.007499    0.010043    221    all
434    20.886076    2.010081    0.007387    0.008107    474    all
435    58.193980    3.314081    0.028998    0.010164    267    all
436    13.953488    3.137390    0.000665    0.005203    456    all
437    57.547170    1.732886    0.017378    0.006655    312    all
438    31.343284    2.204749    0.013094    0.010406    247    all
439    16.887417    0.517642    0.003616    0.006413    293    all
440    11.641791    1.980525    0.001167    0.009801    640    all
441    35.294118    3.327793    0.014846    0.011737    201    all
442    34.661355    2.681453    0.030868    0.011011    249    all
443    51.330798    2.253762    0.035547    0.010164    263    all
444    26.850829    2.558281    0.022830    0.009922    880    all
445    35.123967    3.347822    0.015231    0.006776    717    all
446    25.581395    0.933509    0.012621    0.004235    243    all
447    38.114754    2.731558    0.023289    0.006897    239    all
448    22.758621    1.589462    0.014289    0.009801    280    all
449    48.704663    4.814217    0.014295    0.010285    553    all
450    27.075812    3.030862    0.007571    0.009922    519    all
451    37.086093    2.081580    0.014390    0.008107    454    all
452    26.982249    3.777807    0.009847    0.007018    839    all
453    39.726027    1.618129    0.023325    0.008349    658    all
454    27.615063    1.839036    0.009784    0.005324    475    all
455    19.463087    0.406259    0.005813    0.006534    328    all
456    40.273973    3.210409    0.026766    0.004477    343    all
457    36.562500    3.257142    0.017648    0.008954    317    all
458    34.340223    3.120158    0.005214    0.007381    630    all
459    17.372881    1.255121    0.005886    0.010043    697    all
460    58.348624    3.094306    0.018182    0.006776    543    all
461    16.483516    2.593723    0.001887    0.004840    365    all
462    37.500000    2.995877    0.027681    0.007623    206    all
463    59.673025    2.652119    0.016240    0.010890    367    all
464    29.508197    2.348988    0.017687    0.008228    235    all
465    34.310850    2.303480    0.021721    0.009801    339    all
466    18.535469    3.627839    0.000279    0.011132    438    all
467    0.000000    2.879579    0.001749    0.009438    398    all
468    25.358166    0.743661    0.005647    0.011979    699    all
469    36.637168    2.571423    0.028506    0.009680    486    all
470    0.656455    3.419073    0.000419    0.010043    312    all
471    58.513932    2.891850    0.028828    0.009075    954    all
472    40.972222    1.580989    0.006822    0.010164    433    all
473    46.418338    2.855051    0.025001    0.009075    341    all
474    26.327945    3.406009    0.017828    0.003630    432    all
475    45.521024    3.488056    0.001068    0.009317    437    all
476    27.545910    1.210260    0.007560    0.005203    578    all
477    21.802326    2.931338    0.004391    0.006050    689    all
478    17.843866    2.090881    0.014568    0.009075    235    all
479    30.143541    3.450698    0.005466    0.009196    205    all
480    23.166023    2.053940    0.008354    0.009075    244    all
481    38.028169    3.225933    0.016847    0.003872    422    all
482    46.588235    1.877675    0.008252    0.005445    421    all
483    44.298246    2.651104    0.024871    0.011011    668    all
484    18.662519    3.063557    0.005026    0.010043    574    all
485    33.785193    0.715421    0.010110    0.010285    948    all
486    16.504854    2.107491    0.017281    0.009075    280    all
487    45.283019    1.115665    0.014035    0.011495    303    all
488    31.279621    2.949181    0.023074    0.008954    422    all
489    32.567850    2.904613    0.025311    0.010164    941    all
490    32.579186    0.348052    0.025287    0.006413    205    all
491    36.602871    3.496219    0.025519    0.003388    399    all
492    44.582043    3.738337    0.018178    0.007018    645    all
493    51.079137    3.495709    0.012359    0.004477    416    all
494    36.111111    4.809470    0.028305    0.006292    305    all
495    32.374101    1.909652    0.009866    0.010890    405    all
496    39.663462    1.656910    0.018766    0.003872    415    all
497    27.514793    2.052677    0.014187    0.009317    677    all
498    52.519894    3.079265    0.028037    0.006776    378    all
499    19.518072    1.026328    0.008082    0.007623    393    all
500    12.289157    2.878071    0.004048    0.011253    402    all
501    48.461538    0.230891    0.024326    0.010406    389    all
502    40.425532    2.517276    0.024462    0.004840    283    all
503    38.434164    3.506756    0.019730    0.010527    280    all
504    47.272727    0.782480    0.007182    0.010406    301    all
505    40.219780    2.234327    0.012599    0.006897    909    all
506    19.873817    3.732051    0.006515    0.011374    943    all
507    35.806452    2.659036    0.016570    0.006897    311    all
508    48.595041    2.586032    0.028535    0.003630    600    all
509    19.070905    2.628112    0.011213    0.007986    410    all
510    13.202934    1.075297    0.017351    0.006776    410    all
511    23.529412    2.857400    0.023828    0.003267    334    all
512    34.049080    3.173305    0.013473    0.011616    633    all
513    25.518672    2.666049    0.022156    0.008954    470    all
514    74.678112    1.042578    0.031913    0.009196    228    all
515    49.752475    0.656880    0.012446    0.006171    404    all
516    39.261745    1.973920    0.023639    0.010648    893    all


