---------------------------------
    Results for GMC_DMSO_Day6.avi 
---------------------------------
Raw data:
Particle    BPM    Bend Measure    Speed    Area    Appears in frames    Region
182    29.761905    1.980172    0.016605    0.008349    502    all
183    39.914163    1.616588    0.023380    0.009438    932    all
184    45.387454    2.007405    0.002117    0.008470    254    all
185    33.506494    0.887144    0.034262    0.008107    379    all
186    13.043478    0.904419    0.009654    0.007502    309    all
187    28.111888    1.121186    0.019300    0.004598    703    all
188    37.179487    3.421015    0.021881    0.003751    201    all
189    6.097561    3.587698    0.001876    0.004961    980    all
190    3.184713    2.729095    0.000992    0.005445    374    all
191    27.850163    3.619781    0.016959    0.008228    610    all
192    39.285714    3.000471    0.001434    0.008349    245    all
193    26.582278    3.588921    0.028366    0.010285    226    all
194    13.975155    1.087139    0.004063    0.009438    262    all
195    42.077922    1.606424    0.018424    0.006050    357    all
196    20.307692    1.855733    0.000490    0.010890    307    all
197    29.545455    1.425844    0.014933    0.003993    397    all
198    0.000000    2.605744    0.003356    0.006534    254    all
199    32.635983    0.705054    0.006262    0.003267    214    all
200    18.014706    2.928955    0.002265    0.004961    808    all
201    18.556701    2.676514    0.009119    0.003630    291    all
202    41.924399    0.518911    0.021080    0.004719    767    all
203    47.435897    3.382387    0.006562    0.008470    226    all
204    38.372093    3.910675    0.017702    0.011374    588    all
205    31.578947    1.920241    0.012729    0.009317    280    all
206    34.108527    1.618528    0.017476    0.008228    695    all
207    18.081181    4.689030    0.008312    0.008349    699    all
208    21.524664    3.367963    0.002406    0.004719    349    all
209    46.607143    1.358753    0.010872    0.004598    530    all
210    50.943396    1.805159    0.023271    0.004356    263    all
211    48.675497    1.862204    0.012491    0.006292    251    all
212    2.090592    0.378933    0.000089    0.003872    261    all
213    24.264706    3.054323    0.023691    0.006655    271    all
214    47.209821    2.799539    0.025599    0.007986    862    all
215    21.518987    2.842937    0.013474    0.006413    685    all
216    20.979021    1.874511    0.009236    0.007623    284    all
217    31.740614    0.966124    0.021108    0.007502    230    all
218    1.941748    2.847869    0.001209    0.003993    304    all
219    54.867257    2.532581    0.032656    0.008470    336    all
220    12.110092    2.536758    0.004730    0.007865    532    all
221    46.587031    0.708735    0.024857    0.006171    557    all
222    43.700787    1.106396    0.021393    0.008712    216    all
223    35.097493    3.259670    0.025546    0.004598    351    all
224    48.672566    0.932478    0.019029    0.006655    670    all
225    0.000000    4.274469    0.001533    0.005082    261    all
226    16.245487    0.217086    0.012230    0.004356    246    all
227    38.125000    0.227255    0.023228    0.007381    481    all
228    29.577465    1.284073    0.004883    0.004356    269    all
229    34.661355    4.286428    0.020098    0.007139    233    all
230    20.031056    4.050104    0.005607    0.004356    544    all
231    24.489796    2.477302    0.000341    0.006413    389    all
232    18.103448    3.435351    0.010087    0.008107    573    all
233    22.608696    3.291903    0.001949    0.007744    343    all
234    46.578947    2.766416    0.017110    0.006292    360    all
235    0.000000    0.993776    0.000788    0.008833    267    all
236    20.952381    2.113271    0.006681    0.006171    312    all
237    27.866473    1.648683    0.018446    0.005687    690    all
238    38.751814    2.210935    0.015719    0.005082    689    all
239    42.175066    1.023776    0.022003    0.004840    376    all
240    32.563510    2.132507    0.015546    0.007260    865    all
241    45.358090    2.471034    0.026822    0.007865    366    all
242    32.824427    2.043946    0.013996    0.005566    342    all
243    35.755814    3.732363    0.014290    0.007865    677    all
244    0.436047    3.940384    0.004118    0.007744    631    all
245    0.000000    3.722232    0.000543    0.007744    501    all
